Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits,Capital Gains
2022-11-11 00:00:00+05:30,79.1,79.45,77.55,78.1,4210598,IBREALEST,,,
2022-11-14 00:00:00+05:30,81.0,83.75,79.3,82.8,17109596,IBREALEST,,,
2022-11-15 00:00:00+05:30,83.2,84.9,82.15,82.75,9557952,IBREALEST,,,
2022-11-16 00:00:00+05:30,83.2,83.2,80.8,82.2,5588150,IBREALEST,,,
2022-11-17 00:00:00+05:30,82.0,82.6,80.3,81.3,4240210,IBREALEST,,,
2022-11-18 00:00:00+05:30,81.5,87.75,78.75,86.8,19456697,IBREALEST,,,
2022-11-21 00:00:00+05:30,87.0,89.4,83.65,84.25,18618349,IBREALEST,,,
2022-11-22 00:00:00+05:30,83.2,83.7,80.25,80.8,10039549,IBREALEST,,,
2022-11-23 00:00:00+05:30,81.0,82.2,80.4,81.25,6010914,IBREALEST,,,
2022-11-24 00:00:00+05:30,81.5,82.75,79.25,79.6,6353633,IBREALEST,,,
2022-11-25 00:00:00+05:30,80.0,83.7,79.55,81.7,13724490,IBREALEST,,,
2022-11-28 00:00:00+05:30,82.0,84.9,81.75,84.0,9568131,IBREALEST,,,
2022-11-29 00:00:00+05:30,84.4,85.9,83.7,84.8,7209641,IBREALEST,,,
2022-11-30 00:00:00+05:30,85.0,85.9,82.85,83.3,6893086,IBREALEST,,,
2022-12-01 00:00:00+05:30,83.9,85.3,83.05,84.05,5549964,IBREALEST,,,
2022-12-02 00:00:00+05:30,84.1,86.8,83.9,85.85,10451315,IBREALEST,,,
2022-12-05 00:00:00+05:30,86.5,89.2,86.25,87.6,13396585,IBREALEST,,,
2022-12-06 00:00:00+05:30,87.4,90.4,87.1,88.9,12944981,IBREALEST,,,
2022-12-07 00:00:00+05:30,89.3,93.0,87.65,91.2,17694063,IBREALEST,,,
2022-12-08 00:00:00+05:30,91.7,94.0,89.25,90.25,15489138,IBREALEST,,,
2022-12-09 00:00:00+05:30,87.9,88.7,83.1,83.75,18291890,IBREALEST,,,
2022-12-12 00:00:00+05:30,83.05,85.0,82.8,83.25,6822930,IBREALEST,,,
2022-12-13 00:00:00+05:30,83.7,84.2,82.4,82.9,5279137,IBREALEST,,,
2022-12-14 00:00:00+05:30,83.35,86.0,82.35,84.25,10001432,IBREALEST,,,
2022-12-15 00:00:00+05:30,84.55,85.75,83.75,84.1,6053095,IBREALEST,,,
2022-12-16 00:00:00+05:30,83.9,84.9,82.8,84.1,5606515,IBREALEST,,,
2022-12-19 00:00:00+05:30,84.35,86.9,83.8,86.05,7877769,IBREALEST,,,
2022-12-20 00:00:00+05:30,85.5,86.85,85.05,86.25,5443126,IBREALEST,,,
2022-12-21 00:00:00+05:30,86.5,87.4,81.2,81.6,8997588,IBREALEST,,,
